method_id,name,families,pipeline_role,input_representation_ids,output_representation_ids,paper_ids,codebase_ids,record_path,verification_status,evidence_source,notes
RNA_LIBRARY_SIZE,Library-size scaling,normalization,depth adjustment,RNA_counts,RNA_scaled,SCNORM_2017;SCRAN_2016,not_applicable,02_omics/02_preprocessing_qc_statistics/04_RNA_NORMALIZATION.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s38,Formula and assumptions documented; no source matrix transformed.
RNA_LOG1P,Log1p transform,transformation,variance compression,RNA_scaled,RNA_log1p,SCNORM_2017;SCT_2019,not_applicable,02_omics/02_preprocessing_qc_statistics/05_LOG_TRANSFORMATION.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s40,Toy arithmetic only.
RNA_HVG,Mean-variance variable-gene selection,feature_selection,feature restriction,RNA_processed,RNA_HVG,TECHNICAL_NOISE_2013;SCT_2019,not_applicable,02_omics/02_preprocessing_qc_statistics/07_HIGHLY_VARIABLE_GENES.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s36,No genes selected.
RNA_ZSCORE,Per-feature z-score,scaling,feature standardization,RNA_transformed,RNA_zscore,not_applicable,not_applicable,02_omics/02_preprocessing_qc_statistics/08_SCALING_STANDARDIZATION.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s38,Formula and sparsity consequence documented.
ADT_CLR,Centered log-ratio,normalization,compositional/background-aware scaling,ADT_values,ADT_CLR,MULE_ADT_BACKGROUND_2022,not_applicable,02_omics/02_preprocessing_qc_statistics/09_ADT_PREPROCESSING.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s07,Epsilon choice documented; no correction applied.
ATAC_BINARY,Binary peak detection,transformation,peak detection representation,ATAC_peak_counts,ATAC_binary,BUENROSTRO_SCATAC_2015,not_applicable,02_omics/02_preprocessing_qc_statistics/12_ATAC_FEATURE_REPRESENTATION.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s44,No matrix converted.
ATAC_TFIDF,Term frequency inverse document frequency,normalization,peak reweighting,ATAC_peak_counts,ATAC_TFIDF,CUSANOVICH_2015;COMPREHENSIVE_INTEGRATION_2019,not_applicable,02_omics/02_preprocessing_qc_statistics/13_TFIDF.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s44,Formula variants must be recorded.
ATAC_LSI,Latent semantic indexing,dimension_reduction,ATAC exploratory coordinates,ATAC_TFIDF,ATAC_LSI_COORDS,CUSANOVICH_2015;COMPREHENSIVE_INTEGRATION_2019,not_applicable,02_omics/02_preprocessing_qc_statistics/14_LSI_FOUNDATIONS.md,conceptual_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s45,Conceptual lineage only; no SVD run.
RNA_QC_METRICS,RNA library size and detected features,quality_control,observation QC,RNA_counts,RNA_QC_FIELDS,TECHNICAL_NOISE_2013,not_applicable,02_omics/02_preprocessing_qc_statistics/02_RNA_QC.md,descriptive_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s36,Read-only row summaries.
ATAC_QC_METRICS,ATAC fragments TSS FRiP and nucleosome metrics,quality_control,observation QC,ATAC_fragments,ATAC_QC_FIELDS,BUENROSTRO_SCATAC_2015,not_applicable,02_omics/02_preprocessing_qc_statistics/11_ATAC_QC.md,descriptive_only,02_omics/02_preprocessing_qc_statistics/SOURCES.md#s44,Fields inventoried; no threshold.
